,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Divnomorskoye,RU,44.5011,38.1353,57.81,88,100,17.52,overcast clouds
1,Butaritari,KI,3.0707,172.7902,82.29,74,74,16.64,broken clouds
2,Yellowknife,CA,62.456,-114.3525,-17.88,76,1,8.05,clear sky
3,Albany,US,42.6001,-73.9662,26.47,73,53,5.1,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,76.39,79,74,16.4,broken clouds
5,Busselton,AU,-33.65,115.3333,84.15,38,71,14.0,broken clouds
6,Cairns,AU,-16.9167,145.7667,85.95,74,47,6.91,light rain
7,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,light rain
8,Saskylakh,RU,71.9167,114.0833,-4.68,93,99,10.07,overcast clouds
9,Esperance,AU,-33.8667,121.9,93.04,40,1,7.49,clear sky
10,Barrow,US,71.2906,-156.7887,-5.78,77,90,10.36,haze
11,Bredasdorp,ZA,-34.5322,20.0403,67.15,76,88,16.42,overcast clouds
12,Baykit,RU,61.67,96.37,5.02,95,100,2.21,overcast clouds
13,Ust-Maya,RU,60.4167,134.5333,5.97,88,100,7.76,overcast clouds
14,Bethel,US,41.3712,-73.414,34.16,55,20,5.75,few clouds
15,Eura,FI,61.1333,22.1333,17.82,78,100,7.02,overcast clouds
16,Victoria,HK,22.2855,114.1577,77.05,48,76,4.81,broken clouds
17,Bluff,NZ,-46.6,168.3333,55.63,55,3,4.25,clear sky
18,Kahului,US,20.8947,-156.47,75.22,73,90,11.5,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,49.66,57,75,18.41,light rain
20,Katsuura,JP,35.1333,140.3,59.11,39,0,10.71,clear sky
21,Khatanga,RU,71.9667,102.5,-8.32,96,100,12.37,overcast clouds
22,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,13.8,scattered clouds
23,Hilo,US,19.7297,-155.09,73.13,88,90,0.0,light rain
24,Oblivskaya,RU,48.5362,42.5014,42.31,96,98,9.8,overcast clouds
25,Mahebourg,MU,-20.4081,57.7,84.49,58,20,10.36,few clouds
26,Bengkulu,ID,-3.8004,102.2655,82.8,69,100,5.28,overcast clouds
27,Nago,JP,26.5881,127.9761,73.47,56,100,20.09,overcast clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,62.62,94,0,11.5,light rain
29,Kavieng,PG,-2.5744,150.7967,84.99,65,83,3.96,light rain
30,Hokitika,NZ,-42.7167,170.9667,62.46,81,98,5.37,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,66.88,35,0,6.04,clear sky
32,Saint George,US,37.1041,-113.5841,46.99,29,1,3.44,clear sky
33,Ust-Ordynskiy,RU,52.805,104.7508,19.24,76,37,3.65,scattered clouds
34,Cape Town,ZA,-33.9258,18.4232,63.01,100,90,11.5,light rain
35,Port Alfred,ZA,-33.5906,26.891,70.66,62,51,8.7,broken clouds
36,Zenzeli,RU,45.9241,47.0474,43.29,93,99,8.9,overcast clouds
37,Flinders,AU,-34.5833,150.8552,63.68,68,83,11.14,broken clouds
38,Waingapu,ID,-9.6567,120.2641,82.54,75,100,4.68,overcast clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,68.43,81,92,7.52,overcast clouds
40,Qaanaaq,GL,77.484,-69.3632,-3.71,97,98,2.53,overcast clouds
41,Ribeira Grande,PT,38.5167,-28.7,61.3,62,62,5.17,broken clouds
42,George Town,MY,5.4112,100.3354,87.73,74,40,4.61,scattered clouds
43,Strangnas,SE,59.3774,17.0312,28.4,61,100,10.71,overcast clouds
44,Lufilufi,WS,-13.8745,-171.5986,83.98,79,92,14.03,light rain
45,Erzin,TR,36.9559,36.2,55.92,60,100,4.92,light rain
46,Hobart,AU,-42.8794,147.3294,64.26,63,20,18.41,few clouds
47,Bambous Virieux,MU,-20.3428,57.7575,84.45,58,20,10.36,few clouds
48,Lebu,CL,-37.6167,-73.65,50.47,76,0,16.26,clear sky
49,Fairbanks,US,64.8378,-147.7164,-16.64,69,90,0.0,haze
50,Kodiak,US,57.79,-152.4072,17.11,53,1,13.8,clear sky
51,Camana,PE,-16.6228,-72.7111,65.44,88,53,7.05,broken clouds
52,Itambe,BR,-15.245,-40.6244,68.77,99,100,1.01,heavy intensity rain
53,Cabo San Lucas,MX,22.8909,-109.9124,72.7,77,100,8.08,overcast clouds
54,Sekoma,BW,-24.4,23.8833,67.15,64,62,17.43,broken clouds
55,Sorong,ID,-0.8833,131.25,84.58,73,59,8.77,broken clouds
56,Hubli,IN,15.35,75.1667,77.04,57,94,10.36,overcast clouds
57,Roald,NO,62.5833,6.1333,24.94,80,11,11.5,few clouds
58,Touros,BR,-5.1989,-35.4608,79.7,73,96,11.5,overcast clouds
59,Toronto,CA,43.7001,-79.4163,31.39,70,90,3.44,light snow
60,Hermanus,ZA,-34.4187,19.2345,65.16,88,98,13.69,light rain
61,Tasiilaq,GL,65.6145,-37.6368,26.76,93,100,6.46,snow
62,Port-Cartier,CA,50.0334,-66.8654,32.22,84,100,13.0,overcast clouds
63,Jamestown,US,42.097,-79.2353,31.32,93,90,6.91,light snow
64,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,90,21.85,light snow
65,Rocha,UY,-34.4833,-54.3333,62.28,95,100,1.45,overcast clouds
66,Yar-Sale,RU,66.8333,70.8333,-10.66,97,56,9.78,broken clouds
67,Diamantino,BR,-14.4086,-56.4461,74.17,86,100,4.32,overcast clouds
68,Punta Arenas,CL,-53.15,-70.9167,50.11,57,90,11.5,overcast clouds
69,Sitka,US,57.0531,-135.33,35.49,87,90,3.44,light rain
70,New Norfolk,AU,-42.7826,147.0587,63.9,42,1,5.61,clear sky
71,Novyy Yarychiv,UA,49.9044,24.3052,40.33,96,100,7.81,overcast clouds
72,Aborlan,PH,9.4352,118.5492,84.83,74,98,6.8,overcast clouds
73,Bronnoysund,NO,65.4625,12.1997,19.4,68,3,5.75,clear sky
74,Bollnas,SE,61.3482,16.3946,26.55,91,100,4.45,overcast clouds
75,Hwange,ZW,-18.3693,26.5019,74.95,60,19,10.38,few clouds
76,East London,ZA,-33.0153,27.9116,68.94,77,0,5.75,clear sky
77,Leningradskiy,RU,69.3833,178.4167,-20.47,91,21,10.02,few clouds
78,Carnarvon,AU,-24.8667,113.6333,89.67,48,0,14.97,clear sky
79,Kapaa,US,22.0752,-159.319,75.18,73,1,8.05,clear sky
80,Tiksi,RU,71.6872,128.8694,-8.45,97,100,6.42,overcast clouds
81,Susanville,US,40.4163,-120.653,44.85,53,82,0.36,broken clouds
82,Smithers,CA,54.7804,-127.1743,32.32,86,90,11.5,overcast clouds
83,Manuk Mangkaw,PH,4.8,119.85,83.55,72,100,6.91,overcast clouds
84,Tautira,PF,-17.7333,-149.15,80.62,79,44,17.98,light rain
85,Xining,CN,36.6167,101.7667,34.23,49,98,7.94,overcast clouds
86,Tabou,CI,4.423,-7.3528,78.69,86,20,6.89,few clouds
87,Darhan,MN,49.4867,105.9228,16.2,73,10,7.47,clear sky
88,Pevek,RU,69.7008,170.3133,-12.64,84,13,3.0,few clouds
89,Torbay,CA,47.6666,-52.7314,47.17,87,90,13.8,overcast clouds
90,Clyde River,CA,70.4692,-68.5914,-9.22,97,96,7.07,overcast clouds
91,Yerbogachen,RU,61.2767,108.0108,6.85,91,100,7.67,overcast clouds
92,Svetlogorsk,BY,52.6333,29.7333,31.46,92,58,5.28,broken clouds
93,Baldeogarh,IN,24.755,79.0681,75.52,30,3,4.41,clear sky
94,Shimoda,JP,34.6667,138.95,55.76,46,11,1.48,few clouds
95,Balkanabat,TM,39.5108,54.3671,52.34,43,4,5.1,clear sky
96,Harper,LR,4.375,-7.7169,79.05,84,32,6.64,scattered clouds
97,Chuy,UY,-33.6971,-53.4616,67.14,86,100,5.32,overcast clouds
98,Fortuna,US,40.5982,-124.1573,48.54,93,49,2.91,scattered clouds
99,Chunskiy,RU,56.0815,99.6342,19.63,87,100,10.16,overcast clouds
100,Liverpool,GB,53.4106,-2.9779,33.75,64,88,5.75,overcast clouds
101,Lima,PE,-12.0432,-77.0282,64.65,82,90,9.22,overcast clouds
102,Paulista,BR,-7.9408,-34.8731,80.46,68,96,7.94,overcast clouds
103,Laguna,US,38.421,-121.4238,57.7,87,1,0.0,mist
104,Fereydunshahr,IR,32.941,50.121,39.15,51,99,1.77,overcast clouds
105,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,63,75,12.66,broken clouds
106,Mulege,MX,26.8833,-111.9833,66.15,72,93,4.99,overcast clouds
107,Zaigrayevo,RU,51.8336,108.2703,7.86,58,8,4.03,clear sky
108,Haines Junction,CA,60.7522,-137.5108,-5.85,71,100,6.91,overcast clouds
109,Cayenne,GF,4.9333,-52.3333,75.24,100,75,0.0,broken clouds
110,Cuamba,MZ,-14.8031,36.5372,69.51,69,35,4.0,scattered clouds
111,Opuwo,NA,-18.0607,13.84,70.56,24,55,2.98,broken clouds
112,Bayanday,RU,53.0661,105.5139,12.74,67,44,2.42,scattered clouds
113,Half Moon Bay,US,37.4636,-122.4286,58.78,67,1,5.75,clear sky
114,Puerto Leguizamo,CO,-0.1934,-74.7819,76.17,81,99,2.89,overcast clouds
115,Port Lincoln,AU,-34.7333,135.8667,68.58,54,1,8.9,clear sky
116,Namatanai,PG,-3.6667,152.4333,84.65,68,99,3.38,light rain
117,Chernyshevskiy,RU,63.0128,112.4714,0.16,94,100,7.29,overcast clouds
118,Thompson,CA,55.7435,-97.8558,17.76,79,90,9.22,light snow
119,Bac Lieu,VN,9.285,105.7244,78.12,83,100,14.16,light rain
120,Mount Isa,AU,-20.7333,139.5,94.77,16,0,6.91,clear sky
121,Muros,ES,42.7762,-9.0603,41.5,73,26,9.55,scattered clouds
122,Elko,US,41.0002,-115.5012,30.22,40,14,2.13,few clouds
123,Cockburn Town,TC,21.4612,-71.1419,77.16,74,41,10.45,scattered clouds
124,Ladario,BR,-19.0047,-57.6017,76.5,73,50,2.48,scattered clouds
125,Qui Nhon,VN,13.7667,109.2333,77.2,93,100,16.2,overcast clouds
126,Bogorodsk,RU,56.1033,43.5158,34.95,99,100,13.82,overcast clouds
127,Atuona,PF,-9.8,-139.0333,78.73,73,100,19.15,overcast clouds
128,Souillac,MU,-20.5167,57.5167,84.58,58,20,10.36,few clouds
129,Port Augusta,AU,-32.5,137.7667,80.74,25,22,11.27,few clouds
130,Lavrentiya,RU,65.5833,-171.0,-10.98,94,6,7.25,clear sky
131,Erenhot,CN,43.6475,111.9767,30.99,58,7,16.71,clear sky
132,Buala,SB,-8.145,159.5921,84.85,70,73,5.19,light rain
133,Avarua,CK,-21.2078,-159.775,75.25,83,75,3.44,broken clouds
134,Salalah,OM,17.0151,54.0924,82.49,30,0,4.61,clear sky
135,Mweka,CD,-4.85,21.5667,67.15,100,100,1.36,light rain
136,Praia,CV,14.9215,-23.5087,75.74,69,40,21.85,scattered clouds
137,San Patricio,US,28.017,-97.5169,53.58,88,100,8.48,overcast clouds
138,Kavaratti,IN,10.5669,72.642,83.1,68,98,8.55,light rain
139,Qaqortoq,GL,60.7167,-46.0333,39.7,100,100,5.53,light rain
140,Hauterive,FR,46.0901,3.4459,38.16,98,100,14.0,overcast clouds
141,Luba,GQ,3.4568,8.5547,80.6,79,100,4.18,light rain
142,Marsh Harbour,BS,26.5412,-77.0636,71.74,66,13,6.58,few clouds
143,Potsdam,DE,52.3989,13.0657,33.93,93,58,5.84,broken clouds
144,Aykhal,RU,66.0,111.5,-17.23,99,96,7.96,overcast clouds
145,Imperia,IT,43.9667,7.7833,39.2,71,1,5.3,clear sky
146,Mendi,PG,-6.1761,143.6513,62.11,94,90,3.11,overcast clouds
147,Georgetown,MY,5.4112,100.3354,87.73,74,40,4.61,scattered clouds
148,Naze,JP,28.3667,129.4833,65.32,56,24,16.8,few clouds
149,Umm Lajj,SA,25.0213,37.2685,79.84,45,4,3.06,clear sky
150,Killybegs,IE,54.6333,-8.45,40.86,94,100,5.66,overcast clouds
151,Upernavik,GL,72.7868,-56.1549,-3.23,86,27,10.4,scattered clouds
152,Nanortalik,GL,60.1432,-45.2371,42.06,97,100,12.41,light rain
153,Henties Bay,NA,-22.116,14.2845,58.82,85,0,4.0,clear sky
154,Amurrio,ES,43.05,-3.0,42.42,98,100,6.24,light rain
155,Bakurianis Andeziti,GE,41.7337,43.4724,39.04,73,99,5.97,overcast clouds
156,Todos Santos,MX,23.45,-110.2167,72.19,78,100,2.73,overcast clouds
157,Lazaro Cardenas,MX,17.9583,-102.2,74.03,84,3,4.99,clear sky
158,Dahuk,IQ,36.8695,42.994,53.94,52,98,1.83,overcast clouds
159,Siocon,PH,7.7061,122.1353,84.83,73,100,3.94,overcast clouds
160,Oranjemund,NA,-28.55,16.4333,62.62,79,95,3.38,overcast clouds
161,Glencoe,ZA,-28.1783,30.147,62.65,70,100,5.91,overcast clouds
162,Kloulklubed,PW,7.0419,134.2556,84.7,75,100,14.18,light rain
163,Okhotsk,RU,59.3833,143.3,3.51,71,4,17.92,clear sky
164,Port Blair,IN,11.6667,92.75,84.22,68,24,14.36,few clouds
165,Puerto Escondido,MX,15.85,-97.0667,77.18,62,61,4.5,broken clouds
166,Anadyr,RU,64.75,177.4833,-5.3,77,90,2.24,light snow
167,Bongouanou,CI,6.6486,-4.1992,70.97,99,63,1.88,broken clouds
168,Constitucion,CL,-35.3333,-72.4167,51.46,82,0,8.81,clear sky
169,Arraial Do Cabo,BR,-22.9661,-42.0278,72.82,87,24,2.68,few clouds
170,Cidreira,BR,-30.1811,-50.2056,69.44,95,93,2.91,overcast clouds
171,Nome,US,64.5011,-165.4064,-18.33,76,1,0.0,clear sky
172,Te Anau,NZ,-45.4167,167.7167,67.06,38,0,1.83,clear sky
173,Codrington,AU,-38.2667,141.9667,64.0,62,0,14.56,clear sky
174,Castro,BR,-24.7911,-50.0119,59.99,84,0,2.44,clear sky
175,Kattivakkam,IN,13.2167,80.3167,84.29,79,100,6.08,overcast clouds
176,Labuhan,ID,-6.8844,112.2051,81.0,72,100,6.17,overcast clouds
177,San Ramon,US,37.7799,-121.978,57.29,65,1,4.61,clear sky
178,Dikson,RU,73.5069,80.5464,-13.85,97,100,9.48,overcast clouds
179,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,27.63,few clouds
180,General Roca,AR,-39.0333,-67.5833,63.0,63,34,2.28,scattered clouds
181,Okha,RU,53.5739,142.9478,27.95,70,84,13.06,broken clouds
182,Carballo,ES,43.213,-8.691,40.42,84,78,6.2,broken clouds
183,Bastrop,US,32.7562,-91.8724,49.68,63,100,4.63,overcast clouds
184,Saint-Philippe,RE,-21.3585,55.7679,81.95,81,93,3.42,light rain
185,Lata,PT,40.1629,-8.3327,36.01,88,6,3.42,clear sky
186,Karratha,AU,-20.7377,116.8463,95.5,27,0,19.19,clear sky
187,Madanapalle,IN,13.55,78.5,69.33,95,100,6.17,light rain
188,Port Elizabeth,ZA,-33.918,25.5701,71.89,56,0,6.91,clear sky
189,Kaitangata,NZ,-46.2817,169.8464,58.33,68,0,5.12,clear sky
190,Bereda,ES,43.2686,-7.5406,35.35,94,95,2.62,overcast clouds
191,Zheleznodorozhnyy,RU,55.7503,38.0042,41.52,85,100,10.2,overcast clouds
